customer_id,persona,recency_days,total_visits,total_spend,avg_ticket_price,pct_weekend_visits,pct_evening_visits,gv_plus_member,favourite_genre,preferred_location
GV000024,Premium Experience Seekers,182,5,80.96,16.19,0.323,0.649,0,Comedy,Kallang Leisure Park
GV000025,Family Matinee Regulars,11,9,505.19,56.13,0.714,0.228,0,Romance,Yishun
GV000026,Blockbuster Weekend Warriors,7,39,990.17,25.39,0.781,0.87,0,Sci-Fi,Vivocity
GV000027,Premium Experience Seekers,267,6,125.79,20.96,0.773,0.462,0,Sci-Fi,Vivocity
GV000028,Premium Experience Seekers,95,4,63.23,15.81,0.595,0.412,0,Thriller,Kallang Leisure Park
GV000029,Casual Occasionals,6,5,277.7,55.54,0.558,0.616,1,Drama,Tampines
GV000030,Lapsed Loyalists,190,2,36.85,18.43,0.466,0.456,0,Horror,Bishan
GV000031,Lapsed Loyalists,110,5,76.99,15.4,0.558,0.349,1,Horror,Tampines
GV000032,Blockbuster Weekend Warriors,2,19,432.74,22.78,0.925,0.745,1,Sci-Fi,Kallang Leisure Park
GV000033,Premium Experience Seekers,163,6,91.49,15.25,0.541,0.636,0,Animation,Vivocity
GV000034,Family Matinee Regulars,37,8,678.26,84.78,0.789,0.285,0,Romance,JEM
GV000035,Lapsed Loyalists,187,6,91.34,15.22,0.492,0.539,0,Horror,Bishan
GV000036,Blockbuster Weekend Warriors,11,21,651.83,31.04,0.704,0.92,1,Sci-Fi,Bishan
GV000037,Premium Experience Seekers,356,14,333.19,23.8,0.585,0.778,1,Sci-Fi,Kallang Leisure Park
GV000038,Lapsed Loyalists,146,2,25.63,12.82,0.451,0.648,0,Horror,Yishun
GV000039,Premium Experience Seekers,198,7,108.55,15.51,0.735,0.584,0,Animation,Kallang Leisure Park
GV000040,Premium Experience Seekers,348,7,155.17,22.17,0.598,0.616,1,Sci-Fi,Jurong Point
GV000041,Premium Experience Seekers,65,1,14.37,14.37,0.411,0.403,0,Sci-Fi,Bishan
GV000042,Family Matinee Regulars,42,8,619.14,77.39,0.811,0.179,0,Comedy,Tampines
GV000043,Premium Experience Seekers,176,2,25.74,12.87,0.583,0.612,0,Romance,Jurong Point
GV000044,Family Matinee Regulars,51,10,729.1,72.91,0.605,0.331,1,Romance,Vivocity
GV000045,Premium Experience Seekers,97,4,70.2,17.55,0.466,0.635,0,Animation,Kallang Leisure Park
GV000046,Lapsed Loyalists,111,4,72.21,18.05,0.618,0.375,0,Horror,Tampines
GV000047,Family Matinee Regulars,29,8,604.18,75.52,0.798,0.186,0,Comedy,Yishun
GV000048,Casual Occasionals,37,8,505.21,63.15,0.492,0.555,1,Drama,JEM
GV000049,Premium Experience Seekers,156,1,13.66,13.66,0.522,0.335,0,Thriller,Kallang Leisure Park
GV000050,Family Matinee Regulars,38,19,1586.4,83.49,0.627,0.392,1,Romance,Yishun
GV000051,Premium Experience Seekers,40,5,306.59,61.32,0.481,0.621,1,Action,Kallang Leisure Park
GV000052,Lapsed Loyalists,173,2,26.82,13.41,0.571,0.506,0,Horror,Kallang Leisure Park
GV000053,Blockbuster Weekend Warriors,20,35,921.54,26.33,0.817,0.976,0,Action,Jurong Point
GV000054,Lapsed Loyalists,176,13,215.89,16.61,0.627,0.784,0,Horror,Vivocity
GV000055,Family Matinee Regulars,51,10,862.45,86.25,0.751,0.388,0,Romance,Bishan
GV000056,Blockbuster Weekend Warriors,5,18,405.58,22.53,0.845,0.717,1,Action,Kallang Leisure Park
GV000057,Family Matinee Regulars,52,10,719.19,71.92,0.668,0.169,1,Comedy,Kallang Leisure Park
GV000058,Family Matinee Regulars,23,19,1095.9,57.68,0.789,0.148,1,Comedy,Tampines
GV000059,Casual Occasionals,71,2,27.91,13.96,0.449,0.358,0,Drama,Kallang Leisure Park
GV000060,Blockbuster Weekend Warriors,29,31,953.34,30.75,0.766,0.725,1,Thriller,Tampines
GV000061,Blockbuster Weekend Warriors,20,34,912.58,26.84,0.964,0.942,1,Sci-Fi,JEM
GV000062,Family Matinee Regulars,41,19,1208.71,63.62,0.646,0.204,1,Animation,Paya Lebar
GV000063,Family Matinee Regulars,26,15,850.92,56.73,0.893,0.239,1,Comedy,Kallang Leisure Park
GV000064,Casual Occasionals,174,2,39.58,19.79,0.339,0.518,0,Drama,Kallang Leisure Park
GV000065,Blockbuster Weekend Warriors,10,8,465.11,58.14,0.572,0.746,1,Action,Kallang Leisure Park
GV000066,Blockbuster Weekend Warriors,8,35,1172.52,33.5,0.989,0.911,0,Thriller,Bishan
GV000067,Family Matinee Regulars,13,10,572.54,57.25,0.646,0.186,0,Animation,Tampines
GV000068,Lapsed Loyalists,97,1,16.88,16.88,0.531,0.412,0,Horror,Vivocity
GV000069,Blockbuster Weekend Warriors,9,27,643.46,23.83,0.826,0.76,0,Action,Tampines
GV000070,Premium Experience Seekers,194,4,63.76,15.94,0.511,0.369,0,Action,Yishun
GV000071,Blockbuster Weekend Warriors,15,18,441.64,24.54,0.868,0.779,1,Sci-Fi,Tampines
GV000072,Blockbuster Weekend Warriors,44,7,444.5,63.5,0.439,0.845,1,Thriller,JEM
GV000073,Blockbuster Weekend Warriors,14,32,798.4,24.95,0.881,0.75,0,Sci-Fi,JEM
GV000074,Premium Experience Seekers,133,5,80.05,16.01,0.514,0.493,1,Sci-Fi,JEM
GV000075,Premium Experience Seekers,82,4,64.2,16.05,0.507,0.443,0,Animation,Bishan
GV000076,Blockbuster Weekend Warriors,16,27,699.0,25.89,0.882,0.737,0,Thriller,Yishun
GV000077,Premium Experience Seekers,153,6,99.08,16.51,0.408,0.332,0,Comedy,Vivocity
GV000078,Family Matinee Regulars,17,16,1219.85,76.24,0.834,0.372,1,Comedy,Tampines
GV000079,Family Matinee Regulars,33,9,598.52,66.5,0.729,0.266,0,Romance,Bishan
GV000080,Casual Occasionals,191,1,14.77,14.77,0.581,0.336,0,Drama,Vivocity
GV000081,Blockbuster Weekend Warriors,7,35,999.11,28.55,0.893,0.843,1,Thriller,Kallang Leisure Park
GV000082,Premium Experience Seekers,172,6,90.9,15.15,0.56,0.68,0,Animation,Vivocity
GV000083,Premium Experience Seekers,73,6,110.43,18.4,0.548,0.46,0,Romance,Kallang Leisure Park
GV000084,Premium Experience Seekers,218,13,362.86,27.91,0.584,0.799,0,Animation,Bishan
GV000085,Premium Experience Seekers,252,8,121.61,15.2,0.736,0.548,1,Romance,Jurong Point
GV000086,Family Matinee Regulars,34,18,1465.74,81.43,0.883,0.174,1,Comedy,Kallang Leisure Park
GV000087,Casual Occasionals,38,11,834.97,75.91,0.51,0.685,0,Drama,Tampines
GV000088,Casual Occasionals,81,6,110.31,18.38,0.377,0.491,0,Drama,Vivocity
GV000089,Premium Experience Seekers,60,5,64.61,12.92,0.33,0.496,0,Comedy,Yishun
GV000090,Premium Experience Seekers,361,12,297.85,24.82,0.553,0.467,1,Sci-Fi,JEM
GV000091,Family Matinee Regulars,56,16,1081.54,67.6,0.803,0.361,1,Romance,Paya Lebar
GV000092,Blockbuster Weekend Warriors,27,37,997.71,26.97,0.962,0.979,1,Sci-Fi,Tampines
GV000093,Family Matinee Regulars,56,12,1050.06,87.5,0.795,0.344,1,Comedy,Yishun
GV000094,Premium Experience Seekers,71,5,63.57,12.71,0.578,0.417,0,Animation,JEM
GV000095,Premium Experience Seekers,74,1,12.65,12.65,0.531,0.446,0,Romance,Yishun
GV000096,Premium Experience Seekers,181,5,86.31,17.26,0.38,0.598,1,Sci-Fi,Paya Lebar
GV000097,Blockbuster Weekend Warriors,4,33,1057.69,32.05,0.814,0.93,1,Thriller,Jurong Point
GV000098,Family Matinee Regulars,12,15,935.14,62.34,0.618,0.314,0,Animation,JEM
GV000099,Premium Experience Seekers,149,5,61.89,12.38,0.366,0.35,1,Sci-Fi,Bishan
GV000100,Premium Experience Seekers,152,1,13.67,13.67,0.343,0.545,0,Thriller,Tampines
GV000101,Blockbuster Weekend Warriors,7,34,997.66,29.34,0.881,0.837,0,Thriller,Vivocity
GV000102,Blockbuster Weekend Warriors,10,27,933.58,34.58,0.946,0.945,1,Sci-Fi,Kallang Leisure Park
GV000103,Premium Experience Seekers,245,9,181.18,20.13,0.763,0.423,0,Animation,Bishan
GV000104,Premium Experience Seekers,166,2,36.07,18.03,0.469,0.42,1,Thriller,Jurong Point
GV000105,Premium Experience Seekers,146,6,101.1,16.85,0.689,0.512,0,Animation,Bishan
GV000106,Premium Experience Seekers,171,5,68.69,13.74,0.469,0.49,0,Romance,Jurong Point
GV000107,Lapsed Loyalists,224,11,324.48,29.5,0.64,0.787,1,Horror,Tampines
GV000108,Premium Experience Seekers,363,12,208.12,17.34,0.416,0.638,1,Thriller,Paya Lebar
GV000109,Casual Occasionals,82,3,43.46,14.49,0.569,0.571,0,Drama,Tampines
GV000110,Blockbuster Weekend Warriors,27,29,650.85,22.44,0.867,0.825,0,Sci-Fi,JEM
GV000111,Family Matinee Regulars,24,18,1084.16,60.23,0.78,0.296,0,Comedy,JEM
GV000112,Premium Experience Seekers,288,6,108.18,18.03,0.598,0.453,1,Sci-Fi,Vivocity
GV000113,Family Matinee Regulars,53,10,683.42,68.34,0.719,0.215,0,Romance,Tampines
GV000114,Premium Experience Seekers,182,12,340.01,28.33,0.462,0.444,1,Romance,Yishun
GV000115,Blockbuster Weekend Warriors,29,22,723.69,32.89,0.956,0.911,1,Thriller,Paya Lebar
GV000116,Blockbuster Weekend Warriors,8,34,966.78,28.43,0.807,0.691,1,Sci-Fi,Paya Lebar
GV000117,Premium Experience Seekers,264,6,161.24,26.87,0.531,0.516,0,Romance,Tampines
GV000118,Blockbuster Weekend Warriors,5,34,840.71,24.73,0.809,0.852,1,Action,Tampines
GV000119,Blockbuster Weekend Warriors,2,35,1089.19,31.12,0.913,0.735,1,Thriller,Tampines
GV000120,Premium Experience Seekers,92,5,78.68,15.74,0.527,0.451,0,Thriller,JEM
GV000121,Family Matinee Regulars,31,18,1368.1,76.01,0.66,0.372,1,Comedy,Bishan
GV000122,Casual Occasionals,73,2,38.59,19.3,0.485,0.488,0,Drama,Kallang Leisure Park
GV000123,Premium Experience Seekers,330,5,143.89,28.78,0.417,0.779,1,Sci-Fi,Vivocity
GV000124,Lapsed Loyalists,161,2,33.09,16.54,0.384,0.59,0,Horror,JEM
GV000125,Blockbuster Weekend Warriors,18,18,517.63,28.76,0.777,0.797,0,Sci-Fi,Tampines
GV000126,Blockbuster Weekend Warriors,19,10,744.41,74.44,0.674,0.736,1,Action,Paya Lebar
GV000127,Blockbuster Weekend Warriors,12,19,591.52,31.13,0.884,0.897,1,Action,Jurong Point
GV000128,Family Matinee Regulars,44,13,1080.36,83.1,0.702,0.201,1,Romance,Jurong Point
GV000129,Premium Experience Seekers,190,2,31.68,15.84,0.559,0.601,0,Comedy,Vivocity
GV000130,Blockbuster Weekend Warriors,26,28,957.67,34.2,0.848,0.934,0,Thriller,Tampines
GV000131,Family Matinee Regulars,34,10,753.23,75.32,0.766,0.224,0,Comedy,Yishun
GV000132,Blockbuster Weekend Warriors,20,10,689.42,68.94,0.409,0.645,1,Action,Jurong Point
GV000133,Premium Experience Seekers,98,3,56.56,18.85,0.538,0.476,0,Action,Tampines
GV000134,Family Matinee Regulars,19,14,941.01,67.22,0.641,0.267,0,Comedy,Tampines
GV000135,Premium Experience Seekers,110,1,19.96,19.96,0.692,0.451,0,Thriller,Yishun
GV000136,Blockbuster Weekend Warriors,29,37,875.11,23.65,0.919,0.937,1,Thriller,Yishun
GV000137,Family Matinee Regulars,26,10,640.09,64.01,0.814,0.155,0,Animation,JEM
GV000138,Premium Experience Seekers,117,1,13.29,13.29,0.323,0.454,1,Sci-Fi,Yishun
GV000139,Casual Occasionals,167,7,112.24,16.03,0.505,0.466,0,Drama,JEM
GV000140,Blockbuster Weekend Warriors,22,24,674.03,28.08,0.835,0.997,1,Action,Paya Lebar
GV000141,Casual Occasionals,31,8,423.72,52.97,0.586,0.631,1,Drama,Bishan
GV000142,Blockbuster Weekend Warriors,11,23,633.2,27.53,0.86,0.885,0,Sci-Fi,Paya Lebar
GV000143,Family Matinee Regulars,17,18,1274.64,70.81,0.681,0.127,1,Romance,Vivocity
GV000144,Family Matinee Regulars,22,10,813.9,81.39,0.664,0.267,0,Comedy,Paya Lebar
GV000145,Blockbuster Weekend Warriors,19,22,596.65,27.12,0.71,0.962,0,Thriller,Yishun
GV000146,Lapsed Loyalists,118,6,87.88,14.65,0.546,0.693,1,Horror,Kallang Leisure Park
GV000147,Premium Experience Seekers,253,7,105.22,15.03,0.741,0.769,1,Comedy,Kallang Leisure Park
GV000148,Blockbuster Weekend Warriors,17,27,915.29,33.9,0.715,0.818,1,Sci-Fi,Vivocity
GV000149,Blockbuster Weekend Warriors,17,10,785.34,78.53,0.687,0.822,1,Action,Jurong Point
GV000150,Family Matinee Regulars,40,15,1211.47,80.76,0.671,0.328,1,Animation,Paya Lebar
GV000151,Premium Experience Seekers,107,2,35.18,17.59,0.635,0.612,0,Action,Yishun
GV000152,Premium Experience Seekers,333,14,406.76,29.05,0.518,0.551,1,Thriller,Kallang Leisure Park
GV000153,Premium Experience Seekers,192,6,179.91,29.99,0.643,0.745,1,Animation,Paya Lebar
GV000154,Family Matinee Regulars,29,15,1137.51,75.83,0.838,0.396,0,Comedy,Paya Lebar
GV000155,Casual Occasionals,190,2,38.31,19.15,0.66,0.599,0,Drama,Tampines
GV000156,Family Matinee Regulars,48,9,728.35,80.93,0.61,0.18,0,Romance,Paya Lebar
GV000157,Premium Experience Seekers,227,5,88.64,17.73,0.521,0.551,0,Action,Jurong Point
GV000158,Premium Experience Seekers,149,2,37.26,18.63,0.607,0.493,0,Comedy,Paya Lebar
GV000159,Blockbuster Weekend Warriors,28,36,794.61,22.07,0.775,0.805,1,Thriller,Yishun
GV000160,Family Matinee Regulars,56,16,968.29,60.52,0.796,0.261,0,Animation,Tampines
GV000161,Family Matinee Regulars,55,17,958.85,56.4,0.618,0.327,1,Animation,Paya Lebar
GV000162,Family Matinee Regulars,18,9,623.9,69.32,0.636,0.251,1,Romance,Bishan
GV000163,Family Matinee Regulars,20,18,1251.39,69.52,0.729,0.123,0,Animation,Paya Lebar
GV000164,Casual Occasionals,170,9,232.36,25.82,0.792,0.798,0,Drama,Kallang Leisure Park
GV000165,Lapsed Loyalists,197,4,62.94,15.73,0.398,0.357,0,Horror,Kallang Leisure Park
GV000166,Family Matinee Regulars,27,15,1096.37,73.09,0.728,0.364,1,Romance,Jurong Point
GV000167,Family Matinee Regulars,11,15,1031.28,68.75,0.839,0.207,1,Animation,Bishan
GV000168,Premium Experience Seekers,187,11,261.19,23.74,0.794,0.57,1,Thriller,Paya Lebar
GV000169,Blockbuster Weekend Warriors,20,34,885.51,26.04,0.974,0.955,1,Sci-Fi,Jurong Point
GV000170,Family Matinee Regulars,43,19,1659.02,87.32,0.865,0.282,1,Comedy,Paya Lebar
GV000171,Premium Experience Seekers,154,1,16.1,16.1,0.598,0.469,0,Sci-Fi,Kallang Leisure Park
GV000172,Premium Experience Seekers,142,4,49.07,12.27,0.624,0.339,0,Thriller,Bishan
GV000173,Lapsed Loyalists,79,2,31.23,15.62,0.363,0.59,0,Horror,Tampines
GV000174,Premium Experience Seekers,216,11,317.33,28.85,0.752,0.468,1,Comedy,Jurong Point
GV000175,Casual Occasionals,16,8,390.76,48.85,0.61,0.672,1,Drama,Kallang Leisure Park
GV000176,Blockbuster Weekend Warriors,26,24,737.48,30.73,0.749,0.773,0,Sci-Fi,Yishun
GV000177,Family Matinee Regulars,38,17,1221.49,71.85,0.803,0.147,1,Animation,Vivocity
GV000178,Premium Experience Seekers,133,4,50.21,12.55,0.459,0.449,0,Thriller,Tampines
GV000179,Blockbuster Weekend Warriors,10,22,656.08,29.82,0.857,0.812,0,Action,Yishun
GV000180,Family Matinee Regulars,42,19,1095.46,57.66,0.871,0.114,1,Animation,Yishun
GV000181,Blockbuster Weekend Warriors,13,24,562.69,23.45,0.963,0.957,1,Thriller,Bishan
GV000182,Premium Experience Seekers,113,1,18.31,18.31,0.671,0.694,0,Action,Vivocity
GV000183,Lapsed Loyalists,159,9,235.55,26.17,0.623,0.486,1,Horror,Vivocity
GV000184,Premium Experience Seekers,164,4,51.04,12.76,0.425,0.304,0,Animation,Kallang Leisure Park
GV000185,Family Matinee Regulars,41,9,746.69,82.97,0.718,0.335,0,Animation,Kallang Leisure Park
GV000186,Family Matinee Regulars,51,19,1139.41,59.97,0.718,0.117,0,Romance,Bishan
GV000187,Family Matinee Regulars,37,16,922.18,57.64,0.858,0.288,0,Romance,JEM
GV000188,Blockbuster Weekend Warriors,31,7,422.92,60.42,0.66,0.893,1,Action,Bishan
GV000189,Premium Experience Seekers,353,11,179.89,16.35,0.643,0.739,0,Romance,Tampines
GV000190,Premium Experience Seekers,61,2,27.47,13.74,0.358,0.451,0,Sci-Fi,Paya Lebar
GV000191,Premium Experience Seekers,186,5,72.85,14.57,0.332,0.646,0,Comedy,JEM
GV000192,Premium Experience Seekers,118,4,62.36,15.59,0.452,0.379,0,Romance,JEM
GV000193,Premium Experience Seekers,89,2,36.76,18.38,0.567,0.567,0,Thriller,Vivocity
GV000194,Blockbuster Weekend Warriors,9,24,568.68,23.7,0.935,0.773,0,Sci-Fi,JEM
GV000195,Blockbuster Weekend Warriors,26,19,589.9,31.05,0.89,0.694,1,Thriller,Bishan
GV000196,Premium Experience Seekers,191,1,13.39,13.39,0.367,0.499,0,Animation,Jurong Point
GV000197,Premium Experience Seekers,322,10,182.87,18.29,0.563,0.502,0,Comedy,Kallang Leisure Park
GV000198,Premium Experience Seekers,179,2,32.99,16.5,0.327,0.521,0,Action,Tampines
GV000199,Premium Experience Seekers,111,4,77.9,19.47,0.333,0.458,1,Romance,Kallang Leisure Park
GV000200,Blockbuster Weekend Warriors,27,38,900.31,23.69,0.883,0.83,0,Action,Yishun
GV000201,Blockbuster Weekend Warriors,4,18,460.35,25.57,0.973,0.709,1,Thriller,Kallang Leisure Park
GV000202,Blockbuster Weekend Warriors,6,18,498.09,27.67,0.773,0.91,1,Action,Kallang Leisure Park
GV000203,Premium Experience Seekers,263,6,138.66,23.11,0.779,0.655,0,Action,Tampines
GV000204,Premium Experience Seekers,338,12,244.22,20.35,0.465,0.429,1,Sci-Fi,Kallang Leisure Park
GV000205,Family Matinee Regulars,52,19,1192.16,62.75,0.863,0.39,0,Comedy,JEM
GV000206,Blockbuster Weekend Warriors,26,9,554.58,61.62,0.653,0.854,1,Action,Tampines
GV000207,Blockbuster Weekend Warriors,7,21,656.54,31.26,0.793,0.848,1,Sci-Fi,Tampines
GV000208,Family Matinee Regulars,10,18,1252.08,69.56,0.604,0.226,1,Comedy,Yishun
GV000209,Premium Experience Seekers,95,5,82.85,16.57,0.333,0.669,0,Action,Jurong Point
GV000210,Blockbuster Weekend Warriors,3,33,1066.19,32.31,0.917,0.764,0,Thriller,Kallang Leisure Park
GV000211,Premium Experience Seekers,165,4,50.23,12.56,0.4,0.393,0,Romance,Bishan
GV000212,Premium Experience Seekers,99,2,39.29,19.64,0.441,0.342,0,Animation,Tampines
GV000213,Lapsed Loyalists,308,10,209.73,20.97,0.444,0.698,1,Horror,Paya Lebar
GV000214,Premium Experience Seekers,332,10,234.02,23.4,0.687,0.531,0,Action,Bishan
GV000215,Blockbuster Weekend Warriors,27,30,1031.88,34.4,0.737,0.917,1,Sci-Fi,Vivocity
GV000216,Premium Experience Seekers,24,5,244.38,48.88,0.436,0.611,1,Action,Paya Lebar
GV000217,Family Matinee Regulars,12,19,1442.72,75.93,0.702,0.194,1,Comedy,Tampines
GV000218,Blockbuster Weekend Warriors,13,32,718.43,22.45,0.797,0.94,1,Action,Jurong Point
GV000219,Premium Experience Seekers,187,2,34.21,17.11,0.614,0.555,1,Romance,Vivocity
GV000220,Premium Experience Seekers,199,11,245.9,22.35,0.517,0.466,0,Romance,Yishun
GV000221,Blockbuster Weekend Warriors,24,35,971.3,27.75,0.844,0.732,0,Action,JEM
GV000222,Family Matinee Regulars,21,17,1371.17,80.66,0.732,0.101,0,Romance,Tampines
GV000223,Premium Experience Seekers,90,3,43.32,14.44,0.34,0.347,0,Comedy,Vivocity
GV000224,Blockbuster Weekend Warriors,11,36,1061.73,29.49,0.993,0.883,1,Sci-Fi,JEM
GV000225,Family Matinee Regulars,21,18,1175.09,65.28,0.71,0.137,1,Animation,Yishun
GV000226,Premium Experience Seekers,92,5,96.98,19.4,0.627,0.37,0,Romance,Paya Lebar
GV000227,Premium Experience Seekers,308,14,321.46,22.96,0.545,0.775,0,Action,Kallang Leisure Park
GV000228,Casual Occasionals,335,9,147.02,16.34,0.556,0.765,1,Drama,Tampines
GV000229,Premium Experience Seekers,121,5,81.26,16.25,0.674,0.384,0,Action,Bishan
GV000230,Premium Experience Seekers,191,6,106.76,17.79,0.448,0.375,0,Thriller,Paya Lebar
GV000231,Blockbuster Weekend Warriors,19,35,918.3,26.24,0.933,0.847,1,Sci-Fi,Vivocity
GV000232,Casual Occasionals,155,10,214.57,21.46,0.557,0.521,1,Drama,Tampines
GV000233,Family Matinee Regulars,18,13,737.35,56.72,0.81,0.271,1,Animation,Vivocity
GV000234,Blockbuster Weekend Warriors,12,6,458.76,76.46,0.667,0.837,1,Thriller,Kallang Leisure Park
GV000235,Premium Experience Seekers,93,6,79.87,13.31,0.449,0.481,0,Animation,Bishan
GV000236,Blockbuster Weekend Warriors,11,32,898.73,28.09,0.959,0.772,1,Sci-Fi,JEM
GV000237,Blockbuster Weekend Warriors,22,33,943.26,28.58,0.801,0.924,1,Sci-Fi,Tampines
GV000238,Blockbuster Weekend Warriors,35,7,390.02,55.72,0.613,0.629,1,Thriller,Tampines
GV000239,Premium Experience Seekers,99,2,26.97,13.49,0.487,0.666,0,Thriller,Kallang Leisure Park
GV000240,Premium Experience Seekers,136,6,75.67,12.61,0.624,0.651,0,Action,Paya Lebar
GV000241,Premium Experience Seekers,181,1,15.07,15.07,0.424,0.576,0,Romance,Tampines
GV000242,Blockbuster Weekend Warriors,1,21,591.82,28.18,0.878,0.878,1,Thriller,Jurong Point
GV000243,Family Matinee Regulars,59,18,1175.79,65.32,0.849,0.175,1,Animation,Yishun
GV000244,Blockbuster Weekend Warriors,2,19,624.68,32.88,0.726,0.987,1,Sci-Fi,Paya Lebar
GV000245,Lapsed Loyalists,158,6,83.26,13.88,0.588,0.687,0,Horror,Bishan
GV000246,Premium Experience Seekers,161,5,79.24,15.85,0.57,0.407,0,Action,JEM
GV000247,Premium Experience Seekers,175,2,39.56,19.78,0.362,0.341,0,Thriller,Tampines
GV000248,Family Matinee Regulars,33,16,1405.95,87.87,0.666,0.397,1,Comedy,Kallang Leisure Park
GV000249,Premium Experience Seekers,190,4,57.47,14.37,0.607,0.336,0,Romance,Paya Lebar
GV000250,Premium Experience Seekers,62,1,12.35,12.35,0.457,0.3,0,Comedy,Paya Lebar
GV000251,Casual Occasionals,106,6,74.41,12.4,0.607,0.558,0,Drama,Kallang Leisure Park
GV000252,Lapsed Loyalists,60,6,89.8,14.97,0.601,0.568,0,Horror,Jurong Point
GV000253,Blockbuster Weekend Warriors,22,20,503.01,25.15,0.743,0.865,1,Action,Vivocity
GV000254,Casual Occasionals,349,9,192.6,21.4,0.54,0.62,1,Drama,Paya Lebar
GV000255,Blockbuster Weekend Warriors,20,28,944.04,33.72,0.747,0.783,0,Thriller,Yishun
GV000256,Premium Experience Seekers,89,2,24.34,12.17,0.414,0.682,0,Thriller,Yishun
GV000257,Lapsed Loyalists,94,6,103.82,17.3,0.594,0.435,0,Horror,Jurong Point
GV000258,Family Matinee Regulars,41,9,570.57,63.4,0.614,0.27,1,Animation,Vivocity
GV000259,Premium Experience Seekers,82,2,26.29,13.15,0.501,0.305,0,Thriller,Jurong Point
GV000260,Blockbuster Weekend Warriors,35,5,229.91,45.98,0.696,0.797,1,Action,Yishun
GV000261,Family Matinee Regulars,12,8,445.27,55.66,0.662,0.374,0,Comedy,Paya Lebar
GV000262,Family Matinee Regulars,42,17,941.1,55.36,0.629,0.167,1,Comedy,Jurong Point
GV000263,Blockbuster Weekend Warriors,25,18,482.47,26.8,0.728,0.817,1,Thriller,JEM
GV000264,Family Matinee Regulars,37,11,628.66,57.15,0.62,0.349,0,Animation,Yishun
GV000265,Family Matinee Regulars,38,19,1048.23,55.17,0.829,0.128,0,Animation,Bishan
GV000266,Blockbuster Weekend Warriors,17,36,1029.11,28.59,0.819,0.899,1,Thriller,Paya Lebar
GV000267,Lapsed Loyalists,139,5,89.59,17.92,0.332,0.474,1,Horror,JEM
GV000268,Premium Experience Seekers,145,2,30.65,15.33,0.441,0.366,0,Animation,JEM
GV000269,Casual Occasionals,28,4,314.79,78.7,0.655,0.678,1,Drama,Yishun
GV000270,Casual Occasionals,40,11,859.24,78.11,0.639,0.836,0,Drama,Kallang Leisure Park
GV000271,Blockbuster Weekend Warriors,19,32,813.02,25.41,0.936,0.964,0,Sci-Fi,Kallang Leisure Park
GV000272,Premium Experience Seekers,169,5,89.77,17.95,0.45,0.648,0,Romance,Vivocity
GV000273,Blockbuster Weekend Warriors,8,21,675.6,32.17,0.977,0.693,1,Thriller,Kallang Leisure Park
GV000274,Blockbuster Weekend Warriors,27,18,493.49,27.42,0.713,0.99,1,Sci-Fi,JEM
